Time,Voltage(V),Current(A),Power(W),Energy(Kwh),Frequency(Hz),PowerFactor(PF),,,
15:51:33,229.9,0.06,2.4,0,50,0.16,,,
15:51:35,229.9,0.06,2.4,0,50,0.16,,,
15:51:36,229.8,0.06,2.3,0,50,0.16,,,
15:51:37,229.9,0.06,2.4,0,50,0.16,,,
15:51:38,229.9,0.06,2.3,0,50,0.15,,,
15:51:39,229.9,0.06,2.4,0,50,0.16,,,
15:51:40,229.9,0.06,2.3,0,50,0.15,,,
15:51:41,229.9,0.06,2.3,0,50,0.15,,,
15:51:42,229.9,0.06,2.4,0,50,0.16,,,
15:51:43,229.9,0.06,2.4,0,50,0.16,,,
15:51:44,229.7,0.06,2.3,0,49.9,0.15,,,
15:51:45,229.7,0.06,2.4,0,50,0.16,,,
15:51:46,229.8,0.06,2.4,0,50,0.16,,,
15:51:47,229.8,0.06,2.3,0,50,0.16,,,
15:51:48,229.8,0.06,2.3,0,50,0.16,,,
15:51:49,229.7,0.06,2.4,0,50,0.16,,,
15:51:50,229.9,0.06,2.3,0,50,0.16,,,
15:51:52,229.9,0.06,2.4,0,50,0.16,,,
15:51:53,229.9,0.06,2.4,0,50,0.16,,,
15:51:54,229.9,0.06,2.3,0,50,0.16,,,
15:51:55,229.9,0.06,2.3,0,50,0.16,,,
15:51:56,229.9,0.06,2.4,0,50,0.16,,,
15:51:57,229.9,0.06,2.3,0,50,0.16,,,
15:51:58,229.9,0.06,2.4,0,50,0.16,,,
15:51:59,229.9,0.06,2.4,0,50,0.16,,,
15:52:00,229.9,0.06,2.4,0,50,0.16,,,
15:52:01,229.9,0.06,2.4,0,50,0.16,,,
15:52:02,229.9,0.06,2.3,0,50,0.16,,,
15:52:03,229.8,0.06,2.4,0,50,0.16,,,
15:52:04,229.8,0.06,2.3,0,50,0.16,,,
15:52:05,229.6,0.06,2.4,0,50,0.16,,,
15:52:06,229.6,0.06,2.4,0,50,0.16,,,
15:52:07,229.8,0.06,2.4,0,50,0.16,,,
15:52:09,229.9,0.06,2.4,0,50,0.16,,,
15:52:10,230,0.06,2.4,0,50,0.16,,,
15:52:11,230,0.06,2.3,0,50,0.16,,,
15:52:12,230,0.06,2.3,0,50,0.16,,,
15:52:13,230,0.06,2.4,0,50,0.16,,,
15:52:14,230,0.06,2.3,0,50,0.16,,,
15:52:15,230,0.06,2.4,0,50,0.16,,,
15:52:16,230,0.06,2.3,0,50,0.15,,,
15:52:17,230.1,0.06,2.3,0,50,0.16,,,
15:52:18,230.1,0.06,2.4,0,50,0.16,,,
15:52:19,230.1,0.06,2.4,0,50,0.16,,,
15:52:20,230.1,0.06,2.4,0,50,0.16,,,
15:52:21,230,0.06,2.3,0,50,0.16,,,
15:52:22,230.1,0.06,2.3,0,50,0.15,,,
15:52:23,230,0.06,2.4,0,50,0.16,,,
15:52:24,230.1,0.06,2.4,0,50,0.16,,,
15:52:26,230.1,0.06,2.4,0,50,0.16,,,
15:52:27,230.2,0.06,2.4,0,50,0.16,,,
15:52:28,230.2,0.06,2.3,0,50,0.15,,,
15:52:29,230.2,0.06,2.3,0,50,0.15,,,
15:52:30,230,0.06,2.3,0,50,0.16,,,
15:52:31,230.1,0.06,2.4,0,50,0.16,,,
15:52:32,230.1,0.06,2.4,0,50,0.16,,,
15:52:33,230.2,0.06,2.4,0,50,0.16,,,
15:52:34,230.2,0.06,2.4,0,50,0.16,,,
15:52:35,230.2,0.06,2.4,0,50,0.16,,,
15:52:36,230.2,0.06,2.3,0,50,0.15,,,
15:52:37,230.1,0.06,2.4,0,50,0.16,,,
15:52:38,230.1,0.06,2.4,0,50,0.16,,,
15:52:39,229.9,0.06,2.3,0,50,0.16,,,
15:52:40,230,0.06,2.4,0,50,0.16,,,
15:52:41,230,0.06,2.3,0,50,0.16,,,
15:52:43,229.9,0.06,2.4,0,50,0.16,,,
15:52:44,230,0.06,2.4,0,50,0.16,,,
15:52:45,230,0.06,2.4,0,50,0.16,,,
15:52:46,230.1,0.06,2.3,0,50,0.16,,,
15:52:47,230.1,0.06,2.4,0,50,0.16,,,
15:52:48,229.9,0.06,2.3,0,50,0.16,,,
15:52:49,229.9,0.06,2.4,0,50,0.16,,,
15:52:50,229.9,0.06,2.4,0,50,0.16,,,
15:52:51,229.9,0.06,2.3,0,50,0.16,,,
15:52:52,229.9,0.06,2.3,0,50,0.16,,,
15:52:53,229.9,0.06,2.3,0,50,0.16,,,
15:52:54,229.9,0.06,2.3,0,50,0.16,,,
15:52:55,229.8,0.06,2.4,0,50,0.16,,,
15:52:56,229.8,0.06,2.4,0,50,0.16,,,
15:52:57,229.7,0.06,2.3,0,50,0.16,,,
15:52:58,229.7,0.06,2.3,0,50,0.16,,,
15:53:00,229.6,0.06,2.3,0,50,0.16,,,
15:53:01,229.6,0.06,2.3,0,50,0.16,,,
15:53:02,229.7,0.06,2.4,0,50,0.16,,,
15:53:03,229.7,0.06,2.4,0,50,0.16,,,
15:53:04,229.7,0.06,2.3,0,50,0.16,,,
15:53:05,229.7,0.06,2.4,0,50,0.16,,,
15:53:06,229.8,0.06,2.4,0,50,0.16,,,
15:53:07,229.8,0.06,2.3,0,50,0.16,,,
15:53:08,229.8,0.06,2.3,0,50,0.16,,,
15:53:09,229.8,0.06,2.3,0,50,0.16,,,
15:53:10,229.8,0.06,2.4,0,50,0.16,,,
15:53:11,229.8,0.06,2.4,0,50,0.16,,,
15:53:12,229.8,0.06,2.3,0,50,0.16,,,
15:53:13,229.7,0.06,2.3,0,50,0.16,,,
15:53:14,229.6,0.06,2.4,0,50,0.16,,,
15:53:15,229.6,0.06,2.4,0,50,0.16,,,
